Image|Price|URL|Title|
https://images.craigslist.org/00e0e_fD9wraExlR2_300x300.jpg|$1,000|https://phoenix.craigslist.org/cph/cto/d/must-see-acura-tl-no-pets-non/6396466979.html|Must See Acura TL No pets, non-smoking! Garage kept and 100%|
https://images.craigslist.org/00e0e_fD9wraExlR2_300x300.jpg|$1,000|https://phoenix.craigslist.org/cph/cto/d/1933-ford-henry-steel-3/6357576768.html|Must See Acura TL No pets, non-smoking! Garage kept and 100%|
https://images.craigslist.org/00e0e_fD9wraExlR2_300x300.jpg|$1,000|https://phoenix.craigslist.org/evl/cto/d/2005-dodge-truck/6392990262.html|Must See Acura TL No pets, non-smoking! Garage kept and 100%|
https://images.craigslist.org/00e0e_fD9wraExlR2_300x300.jpg|$1,000|https://phoenix.craigslist.org/wvl/cto/d/1999-isuzu-rodeo-4d-sport/6392869940.html|Must See Acura TL No pets, non-smoking! Garage kept and 100%|
https://images.craigslist.org/01414_kx8SZXIaCQ3_300x300.jpg|$1,700|https://phoenix.craigslist.org/evl/cto/d/1997-toyota-camry-le-four/6396188869.html|1997 Toyota Camry LE four-cylinder automatic runs and looks good|
https://images.craigslist.org/00e0e_fD9wraExlR2_300x300.jpg|$1,000|https://phoenix.craigslist.org/wvl/cto/d/2002-honda-accord-v6-23l/6391115905.html|Must See Acura TL No pets, non-smoking! Garage kept and 100%|
https://images.craigslist.org/01414_kx8SZXIaCQ3_300x300.jpg|$1,700|https://phoenix.craigslist.org/wvl/cto/d/2010-kia-rio-lx-4-door-53k/6390869097.html|1997 Toyota Camry LE four-cylinder automatic runs and looks good|
https://images.craigslist.org/00y0y_aSnIYMTkbYg_300x300.jpg|$17,995|https://phoenix.craigslist.org/nph/cto/d/2012-ford-f250-service-body/6396141889.html|2012 Ford F250 Service Body|
https://images.craigslist.org/00p0p_75ZVkNHLJ7U_300x300.jpg|$7,800|https://phoenix.craigslist.org/cph/cto/d/2010-nissan-rogue-crossover/6389577763.html|2010 Nissan Rogue Crossover SUV -Extra Clean NICE|
https://images.craigslist.org/00000_8ti0dw5edY_300x300.jpg|$7,450|https://phoenix.craigslist.org/wvl/cto/d/2004-ford-150/6396420003.html|2004 Ford F-150|
https://images.craigslist.org/00e0e_fD9wraExlR2_300x300.jpg|$1,000|https://phoenix.craigslist.org/wvl/cto/d/reduced-price-06-hyundai/6377358495.html|Must See Acura TL No pets, non-smoking! Garage kept and 100%|
https://images.craigslist.org/00K0K_713WdAmZaA0_300x300.jpg|$3,500|https://phoenix.craigslist.org/wvl/cto/d/clasic-77-chevy-1-2-ton-4x4/6396328640.html|Clasic 77 chevy 1/2 ton 4x4|
https://images.craigslist.org/00101_zEX6yrOjn7_300x300.jpg|$2,750|https://phoenix.craigslist.org/nph/cto/d/infiniti-g35-sedan-2006/6396229459.html|Infiniti g35 sedan 2006|
https://images.craigslist.org/01414_kx8SZXIaCQ3_300x300.jpg|$1,700|https://phoenix.craigslist.org/evl/cto/d/2007-4x4-chevy-silverado-hd/6379406165.html|1997 Toyota Camry LE four-cylinder automatic runs and looks good|
https://images.craigslist.org/00y0y_aSnIYMTkbYg_300x300.jpg|$17,995|https://phoenix.craigslist.org/cph/cto/d/2015-silverado-s-title-with/6396141870.html|2012 Ford F250 Service Body|
https://images.craigslist.org/00p0p_75ZVkNHLJ7U_300x300.jpg|$7,800|https://phoenix.craigslist.org/cph/cto/d/chevrolet-impala-ls-flex-fuel/6388814701.html|2010 Nissan Rogue Crossover SUV -Extra Clean NICE|
https://images.craigslist.org/00j0j_hqhxFYIzBam_300x300.jpg|$14,500|https://phoenix.craigslist.org/cph/cto/d/chevrolet-carryall-1965-c10/6392491172.html|Chevrolet carryall 1965 C10 c20 k5 4x4|
https://images.craigslist.org/00y0y_a1bkYzTlIO3_300x300.jpg|$1,450|https://phoenix.craigslist.org/wvl/cto/d/2002-chevy-malibu-ls/6396264613.html|2002 Chevy Malibu LS|
https://images.craigslist.org/00000_8ti0dw5edY_300x300.jpg|$7,450|https://phoenix.craigslist.org/nph/cto/d/cadillac-escalade-esv/6396419893.html|2004 Ford F-150|
https://images.craigslist.org/00G0G_1waCu3uZxu4_300x300.jpg|$12,400|https://phoenix.craigslist.org/wvl/cto/d/ford-explorer-xlt/6376793525.html|Ford explorer xlt|
https://images.craigslist.org/00e0e_fD9wraExlR2_300x300.jpg|$1,000|https://phoenix.craigslist.org/nph/cto/d/2000-chevy-4x4-crew-cab/6390561506.html|Must See Acura TL No pets, non-smoking! Garage kept and 100%|
https://images.craigslist.org/00K0K_713WdAmZaA0_300x300.jpg|$3,500|https://phoenix.craigslist.org/wvl/cto/d/2003-volkswagen-beetle-1900/6376454696.html|Clasic 77 chevy 1/2 ton 4x4|
https://images.craigslist.org/00101_zEX6yrOjn7_300x300.jpg|$2,750|https://phoenix.craigslist.org/evl/cto/d/1997-toyota-t100/6396229285.html|Infiniti g35 sedan 2006|
https://images.craigslist.org/01414_kx8SZXIaCQ3_300x300.jpg|$1,700|https://phoenix.craigslist.org/cph/cto/d/2014-hyundai-santa-fe-sport/6396188240.html|1997 Toyota Camry LE four-cylinder automatic runs and looks good|
https://images.craigslist.org/01313_mcltpSQRzp_300x300.jpg|$425|https://phoenix.craigslist.org/cph/cto/d/cargo-bed-slider/6396089933.html,$425 ,Cargo bed slider|Cargo bed slider|
https://images.craigslist.org/00y0y_aSnIYMTkbYg_300x300.jpg|$17,995|https://phoenix.craigslist.org/evl/cto/d/2005-bmw-325ci-convertible/6373968247.html|2012 Ford F250 Service Body|
https://images.craigslist.org/00404_due05vRxKIO_300x300.jpg|$5,500|https://phoenix.craigslist.org/wvl/cto/d/2013-chevy-cruze/6364372899.html|2013 chevy cruze|
https://images.craigslist.org/01111_hdMbxvUDcmS_300x300.jpg|$6,300|https://phoenix.craigslist.org/cph/cto/d/2012-chevrolet-cruze/6389748373.html|2012 Chevrolet Cruze|
https://images.craigslist.org/00303_iHOqXtsJEsD_300x300.jpg|$10,500|https://phoenix.craigslist.org/nph/cto/d/perfect-work-truck1999-ford/6384240075.html|PERFECT WORK TRUCK!!1999 Ford F-250 auto Super Duty 4x4 CrewCab|
https://images.craigslist.org/00p0p_75ZVkNHLJ7U_300x300.jpg|$7,800|https://phoenix.craigslist.org/nph/cto/d/2007-ford-explorer-xlt-1/6396372726.html|2010 Nissan Rogue Crossover SUV -Extra Clean NICE|
https://images.craigslist.org/00j0j_hqhxFYIzBam_300x300.jpg|$14,500|https://phoenix.craigslist.org/wvl/cto/d/wtb-chevy-c10-pickup-short/6396454802.html|Chevrolet carryall 1965 C10 c20 k5 4x4|
https://images.craigslist.org/00y0y_a1bkYzTlIO3_300x300.jpg|$1,450|https://phoenix.craigslist.org/evl/cto/d/2000-jeep-cherokee-sport/6396264472.html|2002 Chevy Malibu LS|
